Hour Ending,WEST
1/26/2021 6:00:00,1199.92501
1/26/2021 7:00:00,1330.146571
1/26/2021 8:00:00,1394.319013
1/26/2021 9:00:00,1351.457646
1/26/2021 10:00:00,1269.841167
1/26/2021 11:00:00,1191.002676
1/26/2021 12:00:00,1133.322002
1/26/2021 13:00:00,1105.617315
1/26/2021 14:00:00,1064.865276
1/26/2021 15:00:00,1039.450371
1/26/2021 16:00:00,1027.490907
1/26/2021 17:00:00,1022.538462
1/26/2021 18:00:00,1028.551559
1/26/2021 19:00:00,1096.615092
1/26/2021 20:00:00,1123.01676
1/26/2021 21:00:00,1120.07647
1/26/2021 22:00:00,1110.776521
1/26/2021 23:00:00,1065.785425
1/27/2021 0:00:00,1043.355736
1/27/2021 1:00:00,1023.895819
1/27/2021 2:00:00,1006.066721
1/27/2021 3:00:00,1010.073437
1/27/2021 4:00:00,1027.462113
1/27/2021 5:00:00,1062.624457
1/27/2021 6:00:00,1141.230538
1/27/2021 7:00:00,1261.450302
1/27/2021 8:00:00,1337.733779
1/27/2021 9:00:00,1318.628067
1/27/2021 10:00:00,1276.247696
1/27/2021 11:00:00,1232.611376
1/27/2021 12:00:00,1177.122775
1/27/2021 13:00:00,1129.638443
1/27/2021 14:00:00,1091.270323
1/27/2021 15:00:00,1063.480326
1/27/2021 16:00:00,1055.06501
1/27/2021 17:00:00,1065.554863
1/27/2021 18:00:00,1104.789241
1/27/2021 19:00:00,1202.465719
1/27/2021 20:00:00,1241.584114
1/27/2021 21:00:00,1261.721906
1/27/2021 22:00:00,1255.336713
1/27/2021 23:00:00,1217.168371
1/28/2021 0:00:00,1192.038513
1/28/2021 1:00:00,1197.748444
1/28/2021 2:00:00,1209.837921
1/28/2021 3:00:00,1229.248543
1/28/2021 4:00:00,1259.197745
1/28/2021 5:00:00,1305.647889
1/28/2021 6:00:00,1382.947472
1/28/2021 7:00:00,1504.312055
1/28/2021 8:00:00,1557.621599
1/28/2021 9:00:00,1514.188842
1/28/2021 10:00:00,1432.203646
1/28/2021 11:00:00,1345.821685
1/28/2021 12:00:00,1263.483278
1/28/2021 13:00:00,1199.514709
1/28/2021 14:00:00,1151.215192
1/28/2021 15:00:00,1098.736269
1/28/2021 16:00:00,1068.063547
1/28/2021 17:00:00,1076.25708
1/28/2021 18:00:00,1108.016871
1/28/2021 19:00:00,1202.857872
1/28/2021 20:00:00,1237.036042
1/28/2021 21:00:00,1240.023981
1/28/2021 22:00:00,1229.045801
1/28/2021 23:00:00,1189.590381
1/29/2021 0:00:00,1153.755251
1/29/2021 1:00:00,1133.40508
1/29/2021 2:00:00,1131.306809
1/29/2021 3:00:00,1146.443331
1/29/2021 4:00:00,1171.99585
1/29/2021 5:00:00,1212.605869
1/29/2021 6:00:00,1269.74575
1/29/2021 7:00:00,1363.068252
1/29/2021 8:00:00,1405.227485
1/29/2021 9:00:00,1374.934519
1/29/2021 10:00:00,1336.459721
1/29/2021 11:00:00,1293.074198
1/29/2021 12:00:00,1236.613993
1/29/2021 13:00:00,1169.15009
1/29/2021 14:00:00,1118.778638
1/29/2021 15:00:00,1075.390939
1/29/2021 16:00:00,1052.846385
1/29/2021 17:00:00,1054.635828
1/29/2021 18:00:00,1069.715045
1/29/2021 19:00:00,1115.940984
1/29/2021 20:00:00,1126.104429
1/29/2021 21:00:00,1117.687221
1/29/2021 22:00:00,1104.411364
1/29/2021 23:00:00,1065.369347
1/30/2021 0:00:00,1029.162322
1/30/2021 1:00:00,1016.114297
1/30/2021 2:00:00,991.709974
1/30/2021 3:00:00,977.419869
1/30/2021 4:00:00,977.546749
1/30/2021 5:00:00,978.621861
1/30/2021 6:00:00,988.233955
1/30/2021 7:00:00,1013.489674
1/30/2021 8:00:00,1048.299101
1/30/2021 9:00:00,1066.22498
1/30/2021 10:00:00,1074.958821
1/30/2021 11:00:00,1054.552663
1/30/2021 12:00:00,1033.537576
1/30/2021 13:00:00,1010.281508
1/30/2021 14:00:00,1001.930348
1/30/2021 15:00:00,996.712014
1/30/2021 16:00:00,994.98821
1/30/2021 17:00:00,1002.762863
1/30/2021 18:00:00,1015.892
1/30/2021 19:00:00,1045.521152
1/30/2021 20:00:00,1059.162462
1/30/2021 21:00:00,1050.53223
1/30/2021 22:00:00,1044.05939
1/30/2021 23:00:00,1031.122218
1/31/2021 0:00:00,1006.990318
1/31/2021 1:00:00,984.6677
1/31/2021 2:00:00,983.612659
1/31/2021 3:00:00,997.607928
1/31/2021 4:00:00,1012.45916
1/31/2021 5:00:00,1032.975098
1/31/2021 6:00:00,1067.073
1/31/2021 7:00:00,1118.937748
1/31/2021 8:00:00,1176.984347
1/31/2021 9:00:00,1192.55054
1/31/2021 10:00:00,1170.65204
1/31/2021 11:00:00,1135.615883
1/31/2021 12:00:00,1094.951286
1/31/2021 13:00:00,1057.406386
1/31/2021 14:00:00,1025.356682
1/31/2021 15:00:00,996.357295
1/31/2021 16:00:00,991.385347
