Hour Ending,SOUTH
1/17/2021 22:00:00,2893.526912
1/17/2021 23:00:00,2779.12844
1/18/2021 0:00:00,2658.378922
1/18/2021 1:00:00,2545.443699
1/18/2021 2:00:00,2477.784627
1/18/2021 3:00:00,2460.428334
1/18/2021 4:00:00,2477.482798
1/18/2021 5:00:00,2547.87767
1/18/2021 6:00:00,2715.995112
1/18/2021 7:00:00,2935.976456
1/18/2021 8:00:00,3054.092797
1/18/2021 9:00:00,3087.021135
1/18/2021 10:00:00,3053.33735
1/18/2021 11:00:00,3000.525049
1/18/2021 12:00:00,3003.146023
1/18/2021 13:00:00,3017.793032
1/18/2021 14:00:00,3048.22206
1/18/2021 15:00:00,3091.777778
1/18/2021 16:00:00,3126.12647
1/18/2021 17:00:00,3137.5874
1/18/2021 18:00:00,3130.206708
1/18/2021 19:00:00,3257.171978
1/18/2021 20:00:00,3264.506961
1/18/2021 21:00:00,3174.431249
1/18/2021 22:00:00,3057.302331
1/18/2021 23:00:00,2880.542057
1/19/2021 0:00:00,2664.01222
1/19/2021 1:00:00,2479.417088
1/19/2021 2:00:00,2364.694795
1/19/2021 3:00:00,2288.870813
1/19/2021 4:00:00,2251.365764
1/19/2021 5:00:00,2265.889973
1/19/2021 6:00:00,2373.778962
1/19/2021 7:00:00,2590.736316
1/19/2021 8:00:00,2717.308596
1/19/2021 9:00:00,2782.329658
1/19/2021 10:00:00,2859.608247
1/19/2021 11:00:00,2989.246628
1/19/2021 12:00:00,3088.671395
1/19/2021 13:00:00,3102.802795
1/19/2021 14:00:00,3090.100132
1/19/2021 15:00:00,3084.346668
1/19/2021 16:00:00,3077.143966
1/19/2021 17:00:00,3062.124643
1/19/2021 18:00:00,3083.78622
1/19/2021 19:00:00,3195.141161
1/19/2021 20:00:00,3177.997486
1/19/2021 21:00:00,3104.86941
1/19/2021 22:00:00,3001.527877
1/19/2021 23:00:00,2827.969461
1/20/2021 0:00:00,2614.9046
1/20/2021 1:00:00,2466.074055
1/20/2021 2:00:00,2367.241044
1/20/2021 3:00:00,2302.364032
1/20/2021 4:00:00,2274.991837
1/20/2021 5:00:00,2306.05335
1/20/2021 6:00:00,2436.996392
1/20/2021 7:00:00,2678.176898
1/20/2021 8:00:00,2834.077155
1/20/2021 9:00:00,2914.463528
1/20/2021 10:00:00,2986.035246
1/20/2021 11:00:00,3019.891811
1/20/2021 12:00:00,3073.61039
1/20/2021 13:00:00,3116.343548
1/20/2021 14:00:00,3103.69962
1/20/2021 15:00:00,3089.480909
1/20/2021 16:00:00,3091.632306
1/20/2021 17:00:00,3122.292122
1/20/2021 18:00:00,3187.054348
1/20/2021 19:00:00,3342.386819
1/20/2021 20:00:00,3348.005986
1/20/2021 21:00:00,3301.84196
1/20/2021 22:00:00,3194.300179
1/20/2021 23:00:00,3013.927238
1/21/2021 0:00:00,2798.545538
1/21/2021 1:00:00,2676.727912
1/21/2021 2:00:00,2569.141241
1/21/2021 3:00:00,2525.928972
1/21/2021 4:00:00,2503.984282
1/21/2021 5:00:00,2534.992695
1/21/2021 6:00:00,2683.487872
1/21/2021 7:00:00,2924.251669
1/21/2021 8:00:00,3065.601018
1/21/2021 9:00:00,3090.628757
1/21/2021 10:00:00,3126.734417
1/21/2021 11:00:00,3111.056064
1/21/2021 12:00:00,3112.754446
1/21/2021 13:00:00,3081.011723
1/21/2021 14:00:00,3050.705499
1/21/2021 15:00:00,3005.242573
1/21/2021 16:00:00,2984.233377
1/21/2021 17:00:00,2991.318395
1/21/2021 18:00:00,3027.339538
1/21/2021 19:00:00,3178.034562
1/21/2021 20:00:00,3190.878263
1/21/2021 21:00:00,3136.239714
1/21/2021 22:00:00,3043.556116
1/21/2021 23:00:00,2877.667177
1/22/2021 0:00:00,2687.443714
1/22/2021 1:00:00,2544.859404
1/22/2021 2:00:00,2423.999914
1/22/2021 3:00:00,2367.894183
1/22/2021 4:00:00,2355.807531
1/22/2021 5:00:00,2370.702929
1/22/2021 6:00:00,2478.451875
1/22/2021 7:00:00,2684.146463
1/22/2021 8:00:00,2826.566193
1/22/2021 9:00:00,2860.731166
1/22/2021 10:00:00,2896.810622
1/22/2021 11:00:00,2919.707103
1/22/2021 12:00:00,2942.56814
1/22/2021 13:00:00,2973.651764
1/22/2021 14:00:00,3032.314031
1/22/2021 15:00:00,3121.868003
1/22/2021 16:00:00,3180.164796
1/22/2021 17:00:00,3198.649102
1/22/2021 18:00:00,3124.45649
1/22/2021 19:00:00,3147.845445
1/22/2021 20:00:00,3098.875374
1/22/2021 21:00:00,3002.21538
1/22/2021 22:00:00,2918.345888
1/22/2021 23:00:00,2802.937453
1/23/2021 0:00:00,2662.065842
1/23/2021 1:00:00,2471.492498
1/23/2021 2:00:00,2353.853359
1/23/2021 3:00:00,2277.574254
1/23/2021 4:00:00,2238.452609
1/23/2021 5:00:00,2229.353425
1/23/2021 6:00:00,2264.076361
1/23/2021 7:00:00,2337.530625
1/23/2021 8:00:00,2397.369202
1/23/2021 9:00:00,2497.111746
1/23/2021 10:00:00,2632.45607
1/23/2021 11:00:00,2734.308904
1/23/2021 12:00:00,2810.407236
1/23/2021 13:00:00,2854.250137
1/23/2021 14:00:00,2874.947519
1/23/2021 15:00:00,2880.347247
1/23/2021 16:00:00,2875.007953
1/23/2021 17:00:00,2870.70216
1/23/2021 18:00:00,2904.55826
1/23/2021 19:00:00,3027.62551
