Hour Ending,SCENT
1/25/2021 15:00:00,5985.340311
1/25/2021 16:00:00,6029.655555
1/25/2021 17:00:00,6126.298529
1/25/2021 18:00:00,6229.495206
1/25/2021 19:00:00,6479.435353
1/25/2021 20:00:00,6406.13211
1/25/2021 21:00:00,6170.114039
1/25/2021 22:00:00,5875.325378
1/25/2021 23:00:00,5486.841413
1/26/2021 0:00:00,5105.44187
1/26/2021 1:00:00,4867.958344
1/26/2021 2:00:00,4747.887553
1/26/2021 3:00:00,4725.772905
1/26/2021 4:00:00,4802.252355
1/26/2021 5:00:00,5019.131877
1/26/2021 6:00:00,5478.507861
1/26/2021 7:00:00,6228.102605
1/26/2021 8:00:00,6753.708966
1/26/2021 9:00:00,6715.21993
1/26/2021 10:00:00,6430.401837
1/26/2021 11:00:00,6125.004417
1/26/2021 12:00:00,5934.652559
1/26/2021 13:00:00,5823.786278
1/26/2021 14:00:00,5763.760698
1/26/2021 15:00:00,5773.248584
1/26/2021 16:00:00,5843.714825
1/26/2021 17:00:00,5944.871985
1/26/2021 18:00:00,6085.073239
1/26/2021 19:00:00,6385.799688
1/26/2021 20:00:00,6366.914879
1/26/2021 21:00:00,6183.352706
1/26/2021 22:00:00,5903.191238
1/26/2021 23:00:00,5521.046746
1/27/2021 0:00:00,5157.947905
1/27/2021 1:00:00,4943.425901
1/27/2021 2:00:00,4831.676102
1/27/2021 3:00:00,4792.189889
1/27/2021 4:00:00,4833.071423
1/27/2021 5:00:00,5024.36565
1/27/2021 6:00:00,5467.855272
1/27/2021 7:00:00,6161.746653
1/27/2021 8:00:00,6643.218596
1/27/2021 9:00:00,6692.180327
1/27/2021 10:00:00,6555.014742
1/27/2021 11:00:00,6368.104403
1/27/2021 12:00:00,6171.761221
1/27/2021 13:00:00,5977.75842
1/27/2021 14:00:00,5827.663715
1/27/2021 15:00:00,5747.922333
1/27/2021 16:00:00,5738.63765
1/27/2021 17:00:00,5830.80974
1/27/2021 18:00:00,6062.644984
1/27/2021 19:00:00,6582.239043
1/27/2021 20:00:00,6709.020546
1/27/2021 21:00:00,6668.74844
1/27/2021 22:00:00,6513.936749
1/27/2021 23:00:00,6240.700194
1/28/2021 0:00:00,5972.35834
1/28/2021 1:00:00,5925.772823
1/28/2021 2:00:00,5903.295164
1/28/2021 3:00:00,5990.936411
1/28/2021 4:00:00,6161.269962
1/28/2021 5:00:00,6505.335047
1/28/2021 6:00:00,7122.871198
1/28/2021 7:00:00,8000.700513
1/28/2021 8:00:00,8488.678311
1/28/2021 9:00:00,8463.232547
1/28/2021 10:00:00,8051.53194
1/28/2021 11:00:00,7555.854025
1/28/2021 12:00:00,7204.341461
1/28/2021 13:00:00,6774.588605
1/28/2021 14:00:00,6466.659454
1/28/2021 15:00:00,6319.629981
1/28/2021 16:00:00,6252.828866
1/28/2021 17:00:00,6356.694047
1/28/2021 18:00:00,6566.044667
1/28/2021 19:00:00,7092.958919
1/28/2021 20:00:00,7246.094533
1/28/2021 21:00:00,7208.110302
1/28/2021 22:00:00,7061.695027
1/28/2021 23:00:00,6748.40525
1/29/2021 0:00:00,6431.546439
1/29/2021 1:00:00,6215.333833
1/29/2021 2:00:00,6175.551279
1/29/2021 3:00:00,6208.101496
1/29/2021 4:00:00,6328.555138
1/29/2021 5:00:00,6590.73225
1/29/2021 6:00:00,7093.866235
1/29/2021 7:00:00,7809.76269
1/29/2021 8:00:00,8205.160831
1/29/2021 9:00:00,7974.890657
1/29/2021 10:00:00,7428.329812
