Hour Ending,NCENT
1/12/2021 17:00:00,12776.735066
1/12/2021 18:00:00,13735.675778
1/12/2021 19:00:00,14594.237667
1/12/2021 20:00:00,14716.390035
1/12/2021 21:00:00,14641.557219
1/12/2021 22:00:00,14298.508155
1/12/2021 23:00:00,13634.676717
1/13/2021 0:00:00,13112.62498
1/13/2021 1:00:00,12980.917455
1/13/2021 2:00:00,13071.33681
1/13/2021 3:00:00,13265.898366
1/13/2021 4:00:00,13645.616092
1/13/2021 5:00:00,14297.784047
1/13/2021 6:00:00,15447.403479
1/13/2021 7:00:00,16921.504445
1/13/2021 8:00:00,17761.441397
1/13/2021 9:00:00,17251.837776
1/13/2021 10:00:00,16140.020237
1/13/2021 11:00:00,14978.052509
1/13/2021 12:00:00,14011.54027
1/13/2021 13:00:00,13157.836765
1/13/2021 14:00:00,12369.46944
1/13/2021 15:00:00,11899.680176
1/13/2021 16:00:00,11654.253407
1/13/2021 17:00:00,11729.652626
1/13/2021 18:00:00,12282.754038
1/13/2021 19:00:00,13276.239069
1/13/2021 20:00:00,13381.930178
1/13/2021 21:00:00,13412.086168
1/13/2021 22:00:00,13050.936793
1/13/2021 23:00:00,12425.674844
1/14/2021 0:00:00,11894.547975
1/14/2021 1:00:00,11576.196554
1/14/2021 2:00:00,11422.977787
1/14/2021 3:00:00,11418.956831
1/14/2021 4:00:00,11608.397832
1/14/2021 5:00:00,12063.715671
1/14/2021 6:00:00,13000.604059
1/14/2021 7:00:00,14360.155856
1/14/2021 8:00:00,15191.868778
1/14/2021 9:00:00,14922.130232
1/14/2021 10:00:00,14410.667181
1/14/2021 11:00:00,13749.454055
1/14/2021 12:00:00,13251.18482
1/14/2021 13:00:00,12785.64606
1/14/2021 14:00:00,12351.241607
1/14/2021 15:00:00,11966.459009
1/14/2021 16:00:00,11707.205203
1/14/2021 17:00:00,11820.973226
1/14/2021 18:00:00,12440.073936
1/14/2021 19:00:00,13382.461868
1/14/2021 20:00:00,13578.241188
1/14/2021 21:00:00,13542.851293
1/14/2021 22:00:00,13271.564184
1/14/2021 23:00:00,12760.25001
1/15/2021 0:00:00,12339.800073
1/15/2021 1:00:00,12133.553598
1/15/2021 2:00:00,12105.755921
1/15/2021 3:00:00,12197.217116
1/15/2021 4:00:00,12536.921985
1/15/2021 5:00:00,13069.781405
1/15/2021 6:00:00,14052.630298
1/15/2021 7:00:00,15433.459497
1/15/2021 8:00:00,16358.153061
1/15/2021 9:00:00,16186.096533
1/15/2021 10:00:00,15679.825459
1/15/2021 11:00:00,15322.268717
1/15/2021 12:00:00,14883.297052
1/15/2021 13:00:00,14469.06924
1/15/2021 14:00:00,14035.839708
1/15/2021 15:00:00,13625.828895
1/15/2021 16:00:00,13414.381792
1/15/2021 17:00:00,13520.45382
1/15/2021 18:00:00,14114.746698
1/15/2021 19:00:00,14806.509965
1/15/2021 20:00:00,14727.936086
1/15/2021 21:00:00,14641.220764
1/15/2021 22:00:00,14367.682252
1/15/2021 23:00:00,13868.769442
1/16/2021 0:00:00,13385.053258
1/16/2021 1:00:00,12822.507549
1/16/2021 2:00:00,12680.314218
1/16/2021 3:00:00,12658.770611
1/16/2021 4:00:00,12892.338855
1/16/2021 5:00:00,13308.265675
1/16/2021 6:00:00,13967.990057
1/16/2021 7:00:00,14852.278268
1/16/2021 8:00:00,15518.808844
1/16/2021 9:00:00,15657.181236
1/16/2021 10:00:00,15120.680864
1/16/2021 11:00:00,14374.444578
1/16/2021 12:00:00,13536.76447
1/16/2021 13:00:00,12797.134703
1/16/2021 14:00:00,12043.481175
1/16/2021 15:00:00,11439.540693
1/16/2021 16:00:00,11157.324771
1/16/2021 17:00:00,11273.385371
1/16/2021 18:00:00,11956.581457
1/16/2021 19:00:00,12517.938434
1/16/2021 20:00:00,12607.015138
1/16/2021 21:00:00,12555.458492
1/16/2021 22:00:00,12290.628425
1/16/2021 23:00:00,11983.471888
1/17/2021 0:00:00,11736.894853
1/17/2021 1:00:00,11455.585754
1/17/2021 2:00:00,11386.014079
1/17/2021 3:00:00,11432.154608
1/17/2021 4:00:00,11639.321457
1/17/2021 5:00:00,11903.616046
1/17/2021 6:00:00,12244.034978
1/17/2021 7:00:00,12798.455749
1/17/2021 8:00:00,13383.447758
1/17/2021 9:00:00,13638.703591
1/17/2021 10:00:00,13409.98516
1/17/2021 11:00:00,12881.319759
1/17/2021 12:00:00,12342.3606
1/17/2021 13:00:00,11850.662252
1/17/2021 14:00:00,11296.025454
1/17/2021 15:00:00,10882.107473
1/17/2021 16:00:00,10687.57658
1/17/2021 17:00:00,10713.865567
1/17/2021 18:00:00,11378.328366
1/17/2021 19:00:00,12279.845577
1/17/2021 20:00:00,12520.273844
1/17/2021 21:00:00,12628.73188
1/17/2021 22:00:00,12620.899924
1/17/2021 23:00:00,12302.533963
1/18/2021 0:00:00,12054.033931
1/18/2021 1:00:00,11896.379292
1/18/2021 2:00:00,11955.721927
1/18/2021 3:00:00,12123.149486
1/18/2021 4:00:00,12340.481072
1/18/2021 5:00:00,12848.431431
1/18/2021 6:00:00,13708.316061
1/18/2021 7:00:00,14676.955871
1/18/2021 8:00:00,15351.265233
1/18/2021 9:00:00,15376.393975
1/18/2021 10:00:00,14979.535224
1/18/2021 11:00:00,14571.859387
1/18/2021 12:00:00,13986.832696
1/18/2021 13:00:00,13277.023653
1/18/2021 14:00:00,12444.39269
1/18/2021 15:00:00,11814.091299
1/18/2021 16:00:00,11512.217819
1/18/2021 17:00:00,11469.990203
1/18/2021 18:00:00,11834.093779
1/18/2021 19:00:00,12469.364807
1/18/2021 20:00:00,12391.850173
1/18/2021 21:00:00,12060.65754
1/18/2021 22:00:00,11553.876646
1/18/2021 23:00:00,10803.32073
1/19/2021 0:00:00,10025.809386
1/19/2021 1:00:00,9515.903376
1/19/2021 2:00:00,9183.528962
1/19/2021 3:00:00,9053.168576
1/19/2021 4:00:00,9079.802102
1/19/2021 5:00:00,9509.222879
1/19/2021 6:00:00,10407.207125
1/19/2021 7:00:00,11735.871011
1/19/2021 8:00:00,12626.546425
1/19/2021 9:00:00,12864.876311
1/19/2021 10:00:00,13097.336924
1/19/2021 11:00:00,13367.082343
1/19/2021 12:00:00,13422.804303
1/19/2021 13:00:00,13418.29294
1/19/2021 14:00:00,13362.857563
1/19/2021 15:00:00,13250.636432
1/19/2021 16:00:00,13216.370616
1/19/2021 17:00:00,13354.240919
1/19/2021 18:00:00,13824.403755
1/19/2021 19:00:00,14170.363181
1/19/2021 20:00:00,13866.300051
1/19/2021 21:00:00,13410.497491
1/19/2021 22:00:00,12857.989323
1/19/2021 23:00:00,12033.969516
1/20/2021 0:00:00,11303.28854
1/20/2021 1:00:00,10767.909459
1/20/2021 2:00:00,10567.945063
1/20/2021 3:00:00,10464.511445
1/20/2021 4:00:00,10608.305477
1/20/2021 5:00:00,10991.708514
1/20/2021 6:00:00,11873.910405
1/20/2021 7:00:00,13194.573985
1/20/2021 8:00:00,13933.358526
1/20/2021 9:00:00,14116.416039
1/20/2021 10:00:00,14172.635003
1/20/2021 11:00:00,14208.414475
1/20/2021 12:00:00,14108.152756
1/20/2021 13:00:00,14051.458538
1/20/2021 14:00:00,13807.978772
1/20/2021 15:00:00,13754.044295
1/20/2021 16:00:00,13904.813496
1/20/2021 17:00:00,14248.831168
1/20/2021 18:00:00,14697.021468
1/20/2021 19:00:00,14969.347672
1/20/2021 20:00:00,14652.250215
1/20/2021 21:00:00,14266.583605
1/20/2021 22:00:00,13627.291474
1/20/2021 23:00:00,12767.642686
1/21/2021 0:00:00,11966.787587
1/21/2021 1:00:00,11412.208617
1/21/2021 2:00:00,11064.103212
1/21/2021 3:00:00,10915.556136
1/21/2021 4:00:00,10900.346985
1/21/2021 5:00:00,11142.515582
1/21/2021 6:00:00,11892.99001
1/21/2021 7:00:00,13041.359429
1/21/2021 8:00:00,13684.701215
1/21/2021 9:00:00,13720.058827
1/21/2021 10:00:00,13714.268039
1/21/2021 11:00:00,13601.000989
1/21/2021 12:00:00,13531.154825
1/21/2021 13:00:00,13330.307886
1/21/2021 14:00:00,13186.682511
1/21/2021 15:00:00,12962.702445
1/21/2021 16:00:00,12861.49621
1/21/2021 17:00:00,13001.299652
1/21/2021 18:00:00,13342.959086
1/21/2021 19:00:00,13643.951674
1/21/2021 20:00:00,13293.15676
1/21/2021 21:00:00,12911.717686
1/21/2021 22:00:00,12398.948684
1/21/2021 23:00:00,11653.135769
1/22/2021 0:00:00,10984.139775
1/22/2021 1:00:00,10594.929915
1/22/2021 2:00:00,10246.739955
1/22/2021 3:00:00,10182.240323
1/22/2021 4:00:00,10284.69639
1/22/2021 5:00:00,10578.245302
1/22/2021 6:00:00,11307.809053
1/22/2021 7:00:00,12462.408368
1/22/2021 8:00:00,13213.948333
1/22/2021 9:00:00,13388.395844
1/22/2021 10:00:00,13526.637443
1/22/2021 11:00:00,13557.840035
1/22/2021 12:00:00,13539.847892
1/22/2021 13:00:00,13422.945336
1/22/2021 14:00:00,13264.434497
1/22/2021 15:00:00,13072.175008
1/22/2021 16:00:00,12993.624413
1/22/2021 17:00:00,13073.544742
1/22/2021 18:00:00,13417.702915
1/22/2021 19:00:00,13662.581493
1/22/2021 20:00:00,13320.694427
1/22/2021 21:00:00,12950.773748
1/22/2021 22:00:00,12551.20469
1/22/2021 23:00:00,11943.550497
1/23/2021 0:00:00,11361.584597
1/23/2021 1:00:00,10718.990635
1/23/2021 2:00:00,10364.22717
1/23/2021 3:00:00,10189.641355
1/23/2021 4:00:00,10170.54122
1/23/2021 5:00:00,10288.60224
1/23/2021 6:00:00,10663.276224
1/23/2021 7:00:00,11141.618617
1/23/2021 8:00:00,11719.663669
1/23/2021 9:00:00,12335.228169
1/23/2021 10:00:00,12798.556252
1/23/2021 11:00:00,13000.510056
1/23/2021 12:00:00,12984.293051
1/23/2021 13:00:00,12844.475695
1/23/2021 14:00:00,12519.054865
1/23/2021 15:00:00,12256.053481
1/23/2021 16:00:00,12120.185725
1/23/2021 17:00:00,12150.674691
1/23/2021 18:00:00,12440.751971
1/23/2021 19:00:00,12617.320192
1/23/2021 20:00:00,12397.260067
1/23/2021 21:00:00,12127.151288
1/23/2021 22:00:00,11736.628875
1/23/2021 23:00:00,11236.212209
1/24/2021 0:00:00,10715.964295
1/24/2021 1:00:00,10236.402942
1/24/2021 2:00:00,9793.059516
1/24/2021 3:00:00,9567.246212
1/24/2021 4:00:00,9444.622555
1/24/2021 5:00:00,9503.269345
1/24/2021 6:00:00,9677.98012
1/24/2021 7:00:00,10009.535436
1/24/2021 8:00:00,10487.736711
1/24/2021 9:00:00,10952.070509
